"","arrivals","departures"
"160",278.45948249381,278.991708386689
"161",278.729707967956,279.141445285175
"162",280.931813046802,281.689694770379
"163",285.849464115221,287.434014957631
"164",286.915101912338,287.172487165779
"165",288.754450459499,291.622161539504
"166",292.80354383681,293.434423221974
"167",293.164236763492,295.238203024724
"168",294.778636545874,297.45603046543
"169",294.843371797353,294.992690431187
"170",294.968415561598,295.208420322742
"171",295.098272600211,297.164613712812
"172",295.299871863797,295.815995534649
"173",297.372607809026,298.390116333263
"174",298.319772948045,300.100126639009
"175",299.771998438518,301.373568636831
"176",300.475114081521,300.569119423628
"177",300.50589809753,300.944983572699
"178",303.197891014628,305.581550618866
"179",304.114983596373,304.463221481536
"180",306.829535666853,308.955456735799
"181",306.853988158051,307.711162070045
"182",309.973076331429,312.871565311449
"183",311.898508471437,312.869637084659
